Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,K,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,Ratio,RatioSD,Gen 0/1k Op,Gen 1/1k Op,Gen 2/1k Op,Allocated Memory/Op
For,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,1.5,67.628 ns,0.1101 ns,0.0976 ns,0.0261 ns,67.450 ns,67.569 ns,67.631 ns,67.684 ns,67.793 ns,"14,786,693.9",1.00,0.00,-,-,-,-
Vector,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,1.5,25.276 ns,0.0681 ns,0.0637 ns,0.0165 ns,25.184 ns,25.215 ns,25.274 ns,25.321 ns,25.396 ns,"39,562,698.5",0.37,0.00,-,-,-,-
VectorSpans,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,1.5,21.318 ns,0.0869 ns,0.0813 ns,0.0210 ns,21.214 ns,21.253 ns,21.288 ns,21.392 ns,21.475 ns,"46,908,955.5",0.32,0.00,-,-,-,-
Axpy,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,1.5,26.541 ns,0.0627 ns,0.0523 ns,0.0145 ns,26.454 ns,26.500 ns,26.526 ns,26.595 ns,26.624 ns,"37,678,099.1",0.39,0.00,-,-,-,-
For,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,69.196 ns,0.2151 ns,0.2012 ns,0.0519 ns,68.962 ns,69.033 ns,69.102 ns,69.364 ns,69.615 ns,"14,451,761.5",0.99,0.00,-,-,-,-
Vector,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,66.888 ns,0.1937 ns,0.1717 ns,0.0459 ns,66.598 ns,66.768 ns,66.894 ns,66.978 ns,67.302 ns,"14,950,438.7",0.96,0.00,-,-,-,-
VectorSpans,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,89.848 ns,0.4717 ns,0.4412 ns,0.1139 ns,89.253 ns,89.442 ns,89.851 ns,90.160 ns,90.836 ns,"11,129,956.9",1.29,0.01,-,-,-,-
Axpy,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,29.284 ns,0.0731 ns,0.0648 ns,0.0173 ns,29.165 ns,29.245 ns,29.288 ns,29.315 ns,29.433 ns,"34,148,842.2",0.42,0.00,-,-,-,-
For,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,69.797 ns,0.1113 ns,0.1041 ns,0.0269 ns,69.611 ns,69.729 ns,69.780 ns,69.865 ns,70.045 ns,"14,327,201.8",1.00,0.00,-,-,-,-
Vector,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,30.588 ns,0.1315 ns,0.1230 ns,0.0318 ns,30.453 ns,30.512 ns,30.534 ns,30.679 ns,30.866 ns,"32,692,121.7",0.44,0.00,-,-,-,-
VectorSpans,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,26.251 ns,0.0343 ns,0.0286 ns,0.0079 ns,26.193 ns,26.245 ns,26.249 ns,26.268 ns,26.310 ns,"38,094,025.8",0.38,0.00,-,-,-,-
Axpy,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,103,1.5,26.805 ns,0.0638 ns,0.0533 ns,0.0148 ns,26.701 ns,26.783 ns,26.803 ns,26.831 ns,26.910 ns,"37,305,908.8",0.38,0.00,-,-,-,-
For,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,613.444 ns,1.0049 ns,0.8908 ns,0.2381 ns,611.272 ns,613.082 ns,613.540 ns,613.965 ns,614.642 ns,"1,630,140.4",1.00,0.00,-,-,-,-
Vector,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,578.440 ns,1.6153 ns,1.5109 ns,0.3901 ns,576.477 ns,577.254 ns,578.354 ns,579.260 ns,581.845 ns,"1,728,786.9",0.94,0.00,-,-,-,-
VectorSpans,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,699.824 ns,2.4377 ns,2.2802 ns,0.5887 ns,696.105 ns,698.221 ns,699.062 ns,701.499 ns,703.927 ns,"1,428,930.9",1.14,0.00,-,-,-,-
Axpy,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,111.089 ns,0.2394 ns,0.2240 ns,0.0578 ns,110.811 ns,110.924 ns,111.027 ns,111.242 ns,111.660 ns,"9,001,827.4",0.18,0.00,-,-,-,-
For,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,614.265 ns,1.9209 ns,1.6041 ns,0.4449 ns,612.373 ns,612.876 ns,614.061 ns,615.123 ns,618.375 ns,"1,627,963.2",1.00,0.00,-,-,-,-
Vector,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,255.404 ns,0.4940 ns,0.4621 ns,0.1193 ns,254.778 ns,255.094 ns,255.329 ns,255.930 ns,256.335 ns,"3,915,359.8",0.42,0.00,-,-,-,-
VectorSpans,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,210.470 ns,0.3816 ns,0.3382 ns,0.0904 ns,209.864 ns,210.221 ns,210.446 ns,210.580 ns,211.158 ns,"4,751,267.2",0.34,0.00,-,-,-,-
Axpy,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,110.691 ns,0.2618 ns,0.2186 ns,0.0606 ns,110.399 ns,110.473 ns,110.689 ns,110.879 ns,110.996 ns,"9,034,150.3",0.18,0.00,-,-,-,-
For,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"60,726.668 ns",223.3576 ns,208.9288 ns,53.9452 ns,"60,463.434 ns","60,519.343 ns","60,717.259 ns","60,951.496 ns","61,033.907 ns","16,467.2",1.00,0.00,-,-,-,-
Vector,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"63,110.333 ns",400.2072 ns,374.3540 ns,96.6578 ns,"62,440.788 ns","62,784.353 ns","63,146.171 ns","63,264.257 ns","63,884.140 ns","15,845.3",1.04,0.01,-,-,-,-
VectorSpans,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"71,840.741 ns",331.4023 ns,293.7795 ns,78.5159 ns,"71,468.702 ns","71,587.295 ns","71,823.790 ns","72,019.678 ns","72,455.334 ns","13,919.7",1.18,0.00,-,-,-,-
Axpy,Clr,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"5,129.264 ns",123.1172 ns,351.2602 ns,36.2297 ns,"4,416.466 ns","4,902.217 ns","5,132.263 ns","5,396.187 ns","6,177.637 ns","194,959.8",0.08,0.00,-,-,-,-
For,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"60,780.472 ns",148.1639 ns,131.3434 ns,35.1030 ns,"60,565.275 ns","60,668.842 ns","60,819.284 ns","60,897.133 ns","60,966.039 ns","16,452.7",1.00,0.00,-,-,-,-
Vector,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"31,056.083 ns",164.5393 ns,145.8598 ns,38.9827 ns,"30,897.109 ns","30,965.186 ns","30,998.533 ns","31,125.262 ns","31,459.747 ns","32,199.8",0.51,0.00,-,-,-,-
VectorSpans,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"32,314.710 ns",151.4383 ns,141.6555 ns,36.5753 ns,"32,134.773 ns","32,228.085 ns","32,260.626 ns","32,414.202 ns","32,587.829 ns","30,945.7",0.53,0.00,-,-,-,-
Axpy,Core,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"5,178.782 ns",103.2439 ns,241.3293 ns,29.9332 ns,"4,488.865 ns","5,050.068 ns","5,193.735 ns","5,336.972 ns","5,628.889 ns","193,095.6",0.08,0.01,-,-,-,-
